,감정 기반 퀘스트,감정,퀘스트,난이도
35, 5초 동안 멍 때리기,무기력,5초 동안 멍 때리기,하
41, 거울 보고 미소 짓기,무기력,거울 보고 미소 짓기,하
42, 핸드폰 내려놓고 눈 감기,무기력,핸드폰 내려놓고 눈 감기,하
92, 물 한 컵 마시기,무기력,물 한 컵 마시기,하
19,감정 일기 1줄 쓰기,불안,감정 일기 1줄 쓰기,상
3,지금 있는 자리 정리정돈,불안,지금 있는 자리 정리정돈,중
17,핸드폰 홈 화면 비우기,불안,핸드폰 홈 화면 비우기,중
71,타이머 맞추고 3분 집중,불안,타이머 맞추고 3분 집중,중
38,손 씻고 물 감각 느끼기,불안,손 씻고 물 감각 느끼기,하
52,거울 보고 미소 짓기,불안,거울 보고 미소 짓기,하
76,물 한 컵 마시기,불안,물 한 컵 마시기,하
79,내가 좋아하는 것 1개 떠올리기,불안,내가 좋아하는 것 1개 떠올리기,하
81,핸드폰 내려놓고 눈 감기,불안,핸드폰 내려놓고 눈 감기,하
45,5분 산책하기,우울,5분 산책하기,상
26,지금 있는 자리 정리정돈,우울,지금 있는 자리 정리정돈,중
44,스트레칭 1분 하기,우울,스트레칭 1분 하기,중
64,핸드폰 홈 화면 비우기,우울,핸드폰 홈 화면 비우기,중
68,이불 정리,우울,이불 정리,중
87,타이머 맞추고 3분 집중,우울,타이머 맞추고 3분 집중,중
95,바닥에 발바닥 붙이고 앉기,우울,바닥에 발바닥 붙이고 앉기,중
7,거울 보고 미소 짓기,우울,거울 보고 미소 짓기,하
23,5초 동안 멍 때리기,우울,5초 동안 멍 때리기,하
34,물 한 컵 마시기,우울,물 한 컵 마시기,하
78,내가 좋아하는 것 1개 떠올리기,우울,내가 좋아하는 것 1개 떠올리기,하
83,손 씻고 물 감각 느끼기,우울,손 씻고 물 감각 느끼기,하
98,핸드폰 내려놓고 눈 감기,우울,핸드폰 내려놓고 눈 감기,하
2,감정 일기 1줄 쓰기,집중,감정 일기 1줄 쓰기,상
14,좋아하는 노래 듣기,집중,좋아하는 노래 듣기,상
82,‘지금 여기에 있음’을 상기하기,집중,‘지금 여기에 있음’을 상기하기,상
18,핸드폰 홈 화면 비우기,집중,핸드폰 홈 화면 비우기,중
75,지금 있는 자리 정리정돈,집중,지금 있는 자리 정리정돈,중
80,이불 정리,집중,이불 정리,중
94,바닥에 발바닥 붙이고 앉기,집중,바닥에 발바닥 붙이고 앉기,중
96,스트레칭 1분 하기,집중,스트레칭 1분 하기,중
31,물 한 컵 마시기,집중,물 한 컵 마시기,하
53,심호흡 3번 하기,집중,심호흡 3번 하기,하
85,손 씻고 물 감각 느끼기,집중,손 씻고 물 감각 느끼기,하
39,좋아하는 노래 듣기,짜증,좋아하는 노래 듣기,상
47,5분 산책하기,짜증,5분 산책하기,상
48,‘지금 여기에 있음’을 상기하기,짜증,‘지금 여기에 있음’을 상기하기,상
60,감정 일기 1줄 쓰기,짜증,감정 일기 1줄 쓰기,상
10,타이머 맞추고 3분 집중,짜증,타이머 맞추고 3분 집중,중
49,이불 정리,짜증,이불 정리,중
73,스트레칭 1분 하기,짜증,스트레칭 1분 하기,중
89,핸드폰 홈 화면 비우기,짜증,핸드폰 홈 화면 비우기,중
0,손 씻고 물 감각 느끼기,짜증,손 씻고 물 감각 느끼기,하
1,5초 동안 멍 때리기,짜증,5초 동안 멍 때리기,하
6,내가 좋아하는 것 1개 떠올리기,짜증,내가 좋아하는 것 1개 떠올리기,하
12,핸드폰 내려놓고 눈 감기,짜증,핸드폰 내려놓고 눈 감기,하
36,거울 보고 미소 짓기,짜증,거울 보고 미소 짓기,하
59,물 한 컵 마시기,짜증,물 한 컵 마시기,하
70,“괜찮아”라고 속으로 말해보기,짜증,“괜찮아”라고 속으로 말해보기,하
33,‘지금 여기에 있음’을 상기하기,평온,‘지금 여기에 있음’을 상기하기,상
65,감정 일기 1줄 쓰기,평온,감정 일기 1줄 쓰기,상
90,좋아하는 노래 듣기,평온,좋아하는 노래 듣기,상
16,타이머 맞추고 3분 집중,평온,타이머 맞추고 3분 집중,중
46,스트레칭 1분 하기,평온,스트레칭 1분 하기,중
11,핸드폰 내려놓고 눈 감기,평온,핸드폰 내려놓고 눈 감기,하
13,“괜찮아”라고 속으로 말해보기,평온,“괜찮아”라고 속으로 말해보기,하
43,거울 보고 미소 짓기,평온,거울 보고 미소 짓기,하
57,5초 동안 멍 때리기,평온,5초 동안 멍 때리기,하
61,손 씻고 물 감각 느끼기,평온,손 씻고 물 감각 느끼기,하
67,물 한 컵 마시기,평온,물 한 컵 마시기,하
97,하늘 올려다보기,평온,하늘 올려다보기,하
